,spot,day,time,rating,key
0,La-Sauzaie,Wed_03,après-midi,0,Wed_03_après-midi
1,La-Sauzaie,Wed_03,soir,0,Wed_03_soir
2,La-Sauzaie,Thu_04,matin,0,Thu_04_matin
3,La-Sauzaie,Thu_04,après-midi,0,Thu_04_après-midi
4,La-Sauzaie,Thu_04,soir,2,Thu_04_soir
5,La-Sauzaie,Fri_05,matin,3,Fri_05_matin
6,La-Sauzaie,Fri_05,après-midi,1,Fri_05_après-midi
7,La-Sauzaie,Fri_05,soir,0,Fri_05_soir
8,La-Sauzaie,Sat_06,matin,0,Sat_06_matin
9,La-Sauzaie,Sat_06,après-midi,0,Sat_06_après-midi
10,La-Sauzaie,Sat_06,soir,0,Sat_06_soir
11,La-Sauzaie,Sun_07,matin,1,Sun_07_matin
12,La-Sauzaie,Sun_07,après-midi,0,Sun_07_après-midi
13,La-Sauzaie,Sun_07,soir,1,Sun_07_soir
14,La-Sauzaie,Mon_08,matin,1,Mon_08_matin
15,La-Sauzaie,Mon_08,après-midi,0,Mon_08_après-midi
16,La-Sauzaie,Mon_08,soir,3,Mon_08_soir
17,La-Sauzaie,Tue_09,matin,1,Tue_09_matin
18,La-Sauzaie,Tue_09,après-midi,0,Tue_09_après-midi
19,La-Sauzaie,Tue_09,soir,0,Tue_09_soir
20,La-Sauzaie,Wed_10,matin,0,Wed_10_matin
0,Les-Dunes,Wed_03,après-midi,0,Wed_03_après-midi
1,Les-Dunes,Wed_03,soir,0,Wed_03_soir
2,Les-Dunes,Thu_04,matin,0,Thu_04_matin
3,Les-Dunes,Thu_04,après-midi,0,Thu_04_après-midi
4,Les-Dunes,Thu_04,soir,-1,Thu_04_soir
5,Les-Dunes,Fri_05,matin,-1,Fri_05_matin
6,Les-Dunes,Fri_05,après-midi,-1,Fri_05_après-midi
7,Les-Dunes,Fri_05,soir,0,Fri_05_soir
8,Les-Dunes,Sat_06,matin,0,Sat_06_matin
9,Les-Dunes,Sat_06,après-midi,0,Sat_06_après-midi
10,Les-Dunes,Sat_06,soir,0,Sat_06_soir
11,Les-Dunes,Sun_07,matin,0,Sun_07_matin
12,Les-Dunes,Sun_07,après-midi,0,Sun_07_après-midi
13,Les-Dunes,Sun_07,soir,-1,Sun_07_soir
14,Les-Dunes,Mon_08,matin,-1,Mon_08_matin
15,Les-Dunes,Mon_08,après-midi,0,Mon_08_après-midi
16,Les-Dunes,Mon_08,soir,-1,Mon_08_soir
17,Les-Dunes,Tue_09,matin,-1,Tue_09_matin
18,Les-Dunes,Tue_09,après-midi,0,Tue_09_après-midi
19,Les-Dunes,Tue_09,soir,0,Tue_09_soir
20,Les-Dunes,Wed_10,matin,0,Wed_10_matin
0,Saint-Gilles-Croixde-Vie,Wed_03,après-midi,0,Wed_03_après-midi
1,Saint-Gilles-Croixde-Vie,Wed_03,soir,0,Wed_03_soir
2,Saint-Gilles-Croixde-Vie,Thu_04,matin,0,Thu_04_matin
3,Saint-Gilles-Croixde-Vie,Thu_04,après-midi,0,Thu_04_après-midi
4,Saint-Gilles-Croixde-Vie,Thu_04,soir,2,Thu_04_soir
5,Saint-Gilles-Croixde-Vie,Fri_05,matin,3,Fri_05_matin
6,Saint-Gilles-Croixde-Vie,Fri_05,après-midi,2,Fri_05_après-midi
7,Saint-Gilles-Croixde-Vie,Fri_05,soir,0,Fri_05_soir
8,Saint-Gilles-Croixde-Vie,Sat_06,matin,0,Sat_06_matin
9,Saint-Gilles-Croixde-Vie,Sat_06,après-midi,0,Sat_06_après-midi
10,Saint-Gilles-Croixde-Vie,Sat_06,soir,0,Sat_06_soir
11,Saint-Gilles-Croixde-Vie,Sun_07,matin,1,Sun_07_matin
12,Saint-Gilles-Croixde-Vie,Sun_07,après-midi,1,Sun_07_après-midi
13,Saint-Gilles-Croixde-Vie,Sun_07,soir,2,Sun_07_soir
14,Saint-Gilles-Croixde-Vie,Mon_08,matin,1,Mon_08_matin
15,Saint-Gilles-Croixde-Vie,Mon_08,après-midi,0,Mon_08_après-midi
16,Saint-Gilles-Croixde-Vie,Mon_08,soir,3,Mon_08_soir
17,Saint-Gilles-Croixde-Vie,Tue_09,matin,2,Tue_09_matin
18,Saint-Gilles-Croixde-Vie,Tue_09,après-midi,0,Tue_09_après-midi
19,Saint-Gilles-Croixde-Vie,Tue_09,soir,0,Tue_09_soir
20,Saint-Gilles-Croixde-Vie,Wed_10,matin,0,Wed_10_matin
